Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,age,audiofile,Condition_Id,copy_of_factor1_tg1_task3_2585,copy_of_factor1_tg1_task3_75eb,ease,edu,factor1_tg1_task3,imphear,interest,L1,notes,prep,prolific,q1,q2,q3,self,test
736426,1,4,nopints_cg,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",1,4,"","",""
736426,2,1,nopints_cg,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",1,2,"","",""
736426,3,3,nopints_cg,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",2,4,"","",""
736426,4,2,nopints_cg,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",4,2,"","",""
736426,1,1,nopints_cg,1,questionnaire,3,25,"",1,"","",1,hs,"",no,2,eng,no,2,"","","","",adv,none
736426,1,1,nopints_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736427,1,1,sil,1,instructions,1,"","",1,"","","","","","","","","","",63e520ead94a5e464e44efcc,"","","","",""
736427,1,3,sil,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",2,4,"","",""
736427,2,1,sil,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",3,4,"","",""
736427,3,2,sil,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",2,2,"","",""
736427,4,4,sil,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",2,1,"","",""
736427,1,1,sil,1,questionnaire,3,36,"",1,"","",1,hs,"",no,2,eng,no,1,"","","","",int,none
736427,1,1,sil,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736428,1,1,nopints,1,instructions,1,"","",1,"","","","","","","","","","",5bf60707345b9b00016f0e97,"","","","",""
736428,1,2,nopints,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",4,2,"","",""
736428,2,3,nopints,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",1,3,"","",""
736428,3,1,nopints,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",1,3,"","",""
736428,4,4,nopints,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",3,4,"","",""
736428,1,1,nopints,1,questionnaire,3,31,"",1,"","",1,hs,"",no,4,eng,no,4,"","","","",adv,none
736428,1,1,nopints,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736429,1,1,base,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",3,1,"","",""
736429,2,4,base,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",1,4,"","",""
736429,3,2,base,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",2,1,"","",""
736429,4,3,base,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",1,4,"","",""
736429,1,1,base,1,instructions,1,"","",1,"","","","","","","","","","",5c637726938ac700011f45cf,"","","","",""
736429,1,1,base,1,questionnaire,3,28,"",1,"","",1,hs,"",no,1,eng,no,1,"","","","",int,none
736429,1,1,base,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736430,1,1,base_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",558996f2fdf99b7ae47f5ed2,"","","","",""
736430,1,4,base_cg,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",2,4,"","",""
736430,2,3,base_cg,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",1,4,"","",""
736430,3,1,base_cg,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,3,"","",""
736430,4,2,base_cg,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",2,2,"","",""
736430,1,1,base_cg,1,questionnaire,3,36,"",1,"","",2,hs,"",no,1,eng,no,3,"","","","",adv,none
736430,1,1,base_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736431,1,1,sil_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",60c29201092d523e3b08a603,"","","","",""
736431,1,2,sil_cg,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",4,2,"","",""
736431,2,4,sil_cg,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",3,4,"","",""
736431,3,3,sil_cg,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",2,4,"","",""
736431,4,1,sil_cg,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",1,1,"","",""
736431,1,1,sil_cg,1,questionnaire,3,37,"",1,"","",3,hs,"",no,2,eng,no,3,"","","","",adv,none
736431,1,1,sil_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736432,1,1,base,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,3,"","",""
736432,2,2,base,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",2,2,"","",""
736432,3,3,base,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",2,4,"","",""
736432,4,4,base,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",2,1,"","",""
736432,1,1,base,1,instructions,1,"","",1,"","","","","","","","","","",6365862b94f7a68a41f98574,"","","","",""
736432,1,1,base,1,questionnaire,3,32,"",1,"","",1,hs,"",no,1,eng,no,1,"","","","",int,none
736432,1,1,base,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736433,1,1,base_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",573a0bef12d1d8000e36c3c3,"","","","",""
736433,1,1,base_cg,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,1,"","",""
736433,2,3,base_cg,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",1,4,"","",""
736433,3,2,base_cg,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",4,4,"","",""
736433,4,4,base_cg,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",3,1,"","",""
736433,1,1,base_cg,1,questionnaire,3,32,"",1,"","",3,uni,"",no,2,eng,no,3,"","","","",adv,a1
736433,1,1,base_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736436,1,1,nopints_cg,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",1,3,"","",""
736436,2,2,nopints_cg,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",2,4,"","",""
736436,3,3,nopints_cg,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",1,4,"","",""
736436,4,4,nopints_cg,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",1,4,"","",""
736436,1,1,nopints_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",62dae78d1b3a661e64d8844b,"","","","",""
736436,1,1,nopints_cg,1,questionnaire,3,35,"",1,"","",1,uni,"",no,2,eng,no,3,"","","","",adv,none
736436,1,1,nopints_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
