"file","segment","start","end","dur","filedur","mean_intensity","condition"
"engl310_01_original","sil",146.912,147.079,0.167,169.26,42.376,"orig"
"engl310_01_original","sil",147.377,147.456,0.079,169.26,55.842,"orig"
"engl310_01_original","in",147.456,147.617,0.162,169.26,60.573,"orig"
"engl310_01_original","o",147.617,147.69,0.073,169.26,63.783,"orig"
"engl310_01_original","uh",147.69,147.895,0.205,169.26,84.531,"orig"
"engl310_01_original","sil",148.876,148.9,0.025,169.26,52.72,"orig"
"engl310_01_original","in",148.9,149.086,0.185,169.26,56.091,"orig"
"engl310_01_original","sil",149.086,149.341,0.255,169.26,61.242,"orig"
"engl310_01_original","sil",149.891,149.917,0.026,169.26,54.519,"orig"
"engl310_01_original","in",149.917,150.069,0.152,169.26,55.786,"orig"
"engl310_01_original","o",150.069,150.154,0.085,169.26,68.479,"orig"
"engl310_01_original","uh",150.154,150.331,0.177,169.26,85.37,"orig"
"engl310_01_original","sil",151.081,151.18,0.099,169.26,45.049,"orig"
"engl310_01_original","in",151.18,151.481,0.301,169.26,52.951,"orig"
"engl310_01_original","sil",151.481,151.513,0.032,169.26,45.552,"orig"
"engl310_01_original","o",151.513,151.562,0.049,169.26,66.582,"orig"
"engl310_01_original","uh",151.562,151.755,0.193,169.26,82.35,"orig"
"engl310_01_original","o",151.755,151.879,0.124,169.26,64.584,"orig"
"engl310_01_original","sil",151.879,152.015,0.135,169.26,41.97,"orig"
"engl310_01_original","sil",152.903,152.957,0.053,169.26,45.886,"orig"
"engl310_01_original","in",152.957,153.089,0.133,169.26,50.623,"orig"
"engl310_01_original","sil",153.089,153.159,0.07,169.26,45.221,"orig"
"engl310_01_original","sil",154.352,154.675,0.323,169.26,47.946,"orig"
"engl310_01_original","sil",157.313,157.361,0.048,169.26,45.361,"orig"
"engl310_01_original","in",157.361,157.577,0.215,169.26,56.448,"orig"
"engl310_01_original","o",157.577,157.753,0.177,169.26,50.414,"orig"
"engl310_01_original","sil",157.753,157.984,0.23,169.26,41.632,"orig"
"engl310_01_original","sil",158.658,158.746,0.088,169.26,53.004,"orig"
"engl310_01_original","ex",158.746,158.89,0.144,169.26,53.835,"orig"
"engl310_01_original","cl",158.89,158.996,0.106,169.26,53.732,"orig"
"engl310_01_original","in",158.996,159.213,0.217,169.26,63.078,"orig"
"engl310_01_original","o",159.213,159.244,0.031,169.26,71.305,"orig"
"engl310_01_original","uh",159.244,159.378,0.134,169.26,86.27,"orig"
"engl310_01_original","sil",160.569,160.694,0.125,169.26,47.085,"orig"
"engl310_01_original","uh",160.694,160.907,0.213,169.26,74.295,"orig"
