"id","condition","audiofile","age","ease","edu","imphear","interest","L1","notes","prep","self","test","question","answer","score","precede"
736469,"base_cg","engl310_01_synth_base.wav",40,3,"uni","no",4,"eng","no",4,"adv","none","q1",1,1,"no"
736469,"base_cg","engl310_07_synth_base.wav",40,3,"uni","no",4,"eng","no",4,"adv","none","q1",4,1,"no"
736469,"base_cg","engl310_13_synth_base.wav",40,3,"uni","no",4,"eng","no",4,"adv","none","q1",2,0,"yes"
736471,"sil_cg","engl310_01_synth_sil.wav",56,4,"uni","no",3,"eng","no",5,"adv","none","q1",1,1,"no"
736471,"sil_cg","engl310_13_synth_sil.wav",56,4,"uni","no",3,"eng","no",5,"adv","none","q1",2,0,"yes"
736471,"sil_cg","engl310_07_synth_sil.wav",56,4,"uni","no",3,"eng","no",5,"adv","none","q1",4,1,"no"
736471,"sil_cg","engl310_24_synth_sil.wav",56,4,"uni","no",3,"eng","no",5,"adv","none","q1",3,1,"yes"
736473,"base","engl310_24_synth_base.wav",59,1,"uni","no",1,"eng","no",1,"adv","c2","q1",1,0,"yes"
736473,"base","engl310_01_synth_base.wav",59,1,"uni","no",1,"eng","no",1,"adv","c2","q1",1,1,"no"
736473,"base","engl310_13_synth_base.wav",59,1,"uni","no",1,"eng","no",1,"adv","c2","q1",2,0,"yes"
736473,"base","engl310_07_synth_base.wav",59,1,"uni","no",1,"eng","no",1,"adv","c2","q1",2,0,"no"
736475,"sil","engl310_24_synth_sil.wav",42,2,"uni","no",4,"eng","no",2,"adv","none","q1",3,1,"yes"
736475,"sil","engl310_01_synth_sil.wav",42,2,"uni","no",4,"eng","no",2,"adv","none","q1",1,1,"no"
736475,"sil","engl310_13_synth_sil.wav",42,2,"uni","no",4,"eng","no",2,"adv","none","q1",1,1,"yes"
736475,"sil","engl310_07_synth_sil.wav",42,2,"uni","no",4,"eng","no",2,"adv","none","q1",4,1,"no"
736478,"base_cg","engl310_13_synth_base.wav",75,1,"hs","no",3,"eng","no",2,"adv","none","q1",1,1,"yes"
736478,"base_cg","engl310_07_synth_base.wav",75,1,"hs","no",3,"eng","no",2,"adv","none","q1",4,1,"no"
736478,"base_cg","engl310_24_synth_base.wav",75,1,"hs","no",3,"eng","no",2,"adv","none","q1",1,0,"yes"
736478,"base_cg","engl310_01_synth_base.wav",75,1,"hs","no",3,"eng","no",2,"adv","none","q1",2,0,"no"
736479,"base","engl310_24_synth_base.wav",43,3,"hs","no",2,"eng","no",3,"adv","none","q1",3,1,"yes"
736479,"base","engl310_07_synth_base.wav",43,3,"hs","no",2,"eng","no",3,"adv","none","q1",4,1,"no"
736479,"base","engl310_01_synth_base.wav",43,3,"hs","no",2,"eng","no",3,"adv","none","q1",4,0,"no"
736479,"base","engl310_13_synth_base.wav",43,3,"hs","no",2,"eng","no",3,"adv","none","q1",1,1,"yes"
736482,"sil_cg","engl310_13_synth_sil.wav",27,3,"other","no",2,"eng","no",4,"adv","none","q1",1,1,"yes"
736482,"sil_cg","engl310_07_synth_sil.wav",27,3,"other","no",2,"eng","no",4,"adv","none","q1",4,1,"no"
736482,"sil_cg","engl310_01_synth_sil.wav",27,3,"other","no",2,"eng","no",4,"adv","none","q1",1,1,"no"
736482,"sil_cg","engl310_24_synth_sil.wav",27,3,"other","no",2,"eng","no",4,"adv","none","q1",3,1,"yes"
736484,"sil","engl310_24_synth_sil.wav",58,2,"uni","no",3,"eng","no",3,"int","none","q1",2,0,"yes"
736484,"sil","engl310_13_synth_sil.wav",58,2,"uni","no",3,"eng","no",3,"int","none","q1",1,1,"yes"
